 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
     001,      629,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      630,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      631,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      632,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      633,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      634,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      635,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      636,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      637,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      638,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      639,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      640,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      641,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,        8,      300,             23,             22,        5,      1,      3,      1,      4
    1001,        9,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       10,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       11,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       12,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       13,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       14,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       15,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       16,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       17,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       18,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       19,      300,             23,             22,        5,      1,      3,      1,      4
    1001,       20,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,        1,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,        6,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,      236,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      237,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      238,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      239,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      240,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      241,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      242,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      243,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      244,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      245,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      246,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      247,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,      320,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      321,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      322,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      323,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      324,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      325,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
    1001,      484,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      485,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      486,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      487,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      488,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      489,      300,             23,             22,        5,      1,      3,      1,      4
    1001,      490,      300,             23,             22,        5,      1,      3,      1,      4
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel 
